experiment,train_time,eval_time
result/UKDALE_WashingMachine_10s/128/NILMFormer_0,745.52,66.346
result/UKDALE_WashingMachine_10s/128/BERT4NILM_0,472.86,46.668
result/UKDALE_WashingMachine_10s/128/BiLSTM_0,437.567,57.646
result/UKDALE_WashingMachine_10s/128/BiGRU_0,489.993,42.814
result/UKDALE_WashingMachine_10s/128/CNN1D_0,392.222,43.289
result/UKDALE_WashingMachine_10s/128/DAResNet_0,1148.905,100.598
result/UKDALE_WashingMachine_10s/128/NILMFormer_1,775.454,50.673
result/UKDALE_WashingMachine_10s/128/BERT4NILM_1,481.818,45.592
result/UKDALE_WashingMachine_10s/128/BiLSTM_1,463.83,50.539
result/UKDALE_WashingMachine_10s/128/BiGRU_1,369.085,32.362
result/UKDALE_WashingMachine_10s/128/CNN1D_1,328.883,32.508
result/UKDALE_WashingMachine_10s/128/DAResNet_1,1169.83,80.848
result/UKDALE_WashingMachine_10s/128/NILMFormer_2,770.233,108.23
result/UKDALE_WashingMachine_10s/128/BERT4NILM_2,875.495,93.595
result/UKDALE_WashingMachine_10s/128/BiLSTM_2,888.784,97.753
result/UKDALE_WashingMachine_10s/128/BiGRU_2,836.523,95.074
result/UKDALE_WashingMachine_10s/128/CNN1D_2,851.927,92.036
result/UKDALE_WashingMachine_10s/128/DAResNet_2,1425.357,133.907
result/UKDALE_WashingMachine_10s/256/NILMFormer_0,530.93,51.956
result/UKDALE_WashingMachine_10s/256/BERT4NILM_0,461.071,51.345
result/UKDALE_WashingMachine_10s/256/BiLSTM_0,499.115,54.33
result/UKDALE_WashingMachine_10s/256/BiGRU_0,448.883,51.463
result/UKDALE_WashingMachine_10s/256/CNN1D_0,436.118,49.556
result/UKDALE_WashingMachine_10s/256/DAResNet_0,782.002,68.699
result/UKDALE_WashingMachine_10s/256/NILMFormer_1,527.787,49.873
result/UKDALE_WashingMachine_10s/256/BERT4NILM_1,428.008,48.588
result/UKDALE_WashingMachine_10s/256/BiLSTM_1,508.274,49.378
result/UKDALE_WashingMachine_10s/256/BiGRU_1,419.494,49.705
result/UKDALE_WashingMachine_10s/256/CNN1D_1,413.844,46.149
result/UKDALE_WashingMachine_10s/256/DAResNet_1,766.481,65.482
result/UKDALE_WashingMachine_10s/256/NILMFormer_2,506.776,52.451
result/UKDALE_WashingMachine_10s/256/BERT4NILM_2,463.857,48.656
result/UKDALE_WashingMachine_10s/256/BiLSTM_2,488.176,53.276
result/UKDALE_WashingMachine_10s/256/BiGRU_2,437.289,50.149
result/UKDALE_WashingMachine_10s/256/CNN1D_2,431.407,49.741
result/UKDALE_WashingMachine_10s/256/DAResNet_2,756.695,68.256
result/UKDALE_WashingMachine_10s/512/NILMFormer_0,313.54,26.523
result/UKDALE_WashingMachine_10s/512/BERT4NILM_0,238.75,25.639
result/UKDALE_WashingMachine_10s/512/BiLSTM_0,384.801,35.602
result/UKDALE_WashingMachine_10s/512/BiGRU_0,227.818,27.141
result/UKDALE_WashingMachine_10s/512/CNN1D_0,219.614,24.98
result/UKDALE_WashingMachine_10s/512/DAResNet_0,454.425,34.667
result/UKDALE_WashingMachine_10s/512/NILMFormer_1,319.757,26.724
result/UKDALE_WashingMachine_10s/512/BERT4NILM_1,216.022,23.709
result/UKDALE_WashingMachine_10s/512/BiLSTM_1,360.255,34.58
result/UKDALE_WashingMachine_10s/512/BiGRU_1,217.239,25.22
result/UKDALE_WashingMachine_10s/512/CNN1D_1,200.945,22.264
result/UKDALE_WashingMachine_10s/512/DAResNet_1,443.69,31.115
result/UKDALE_WashingMachine_10s/512/NILMFormer_2,305.667,26.52
result/UKDALE_WashingMachine_10s/512/BERT4NILM_2,227.748,25.665
result/UKDALE_WashingMachine_10s/512/BiLSTM_2,378.038,34.973
result/UKDALE_WashingMachine_10s/512/BiGRU_2,229.787,26.155
result/UKDALE_WashingMachine_10s/512/CNN1D_2,211.027,24.289
result/UKDALE_WashingMachine_10s/512/DAResNet_2,455.582,33.14
result/UKDALE_Dishwasher_10s/128/NILMFormer_0,1031.809,104.908
result/UKDALE_Dishwasher_10s/128/BERT4NILM_0,898.462,97.992
result/UKDALE_Dishwasher_10s/128/BiLSTM_0,941.212,91.915
result/UKDALE_Dishwasher_10s/128/BiGRU_0,895.842,103.516
result/UKDALE_Dishwasher_10s/128/CNN1D_0,879.669,101.89
result/UKDALE_Dishwasher_10s/128/DAResNet_0,1312.161,110.169
result/UKDALE_Dishwasher_10s/128/NILMFormer_1,950.349,88.721
result/UKDALE_Dishwasher_10s/128/BERT4NILM_1,749.68,71.516
result/UKDALE_Dishwasher_10s/128/BiLSTM_1,669.831,73.806
result/UKDALE_Dishwasher_10s/128/BiGRU_1,645.102,71.045
result/UKDALE_Dishwasher_10s/128/CNN1D_1,662.424,69.629
result/UKDALE_Dishwasher_10s/128/DAResNet_1,1255.936,110.032
result/UKDALE_Dishwasher_10s/128/NILMFormer_2,950.071,88.529
result/UKDALE_Dishwasher_10s/128/BERT4NILM_2,683.1,71.566
result/UKDALE_Dishwasher_10s/128/BiLSTM_2,667.601,73.812
result/UKDALE_Dishwasher_10s/128/BiGRU_2,644.72,71.045
result/UKDALE_Dishwasher_10s/128/CNN1D_2,628.46,69.62
result/UKDALE_Dishwasher_10s/128/DAResNet_2,1252.533,110.046
result/UKDALE_Dishwasher_10s/256/NILMFormer_0,477.309,44.394
result/UKDALE_Dishwasher_10s/256/BERT4NILM_0,346.124,36.062
result/UKDALE_Dishwasher_10s/256/BiLSTM_0,381.704,39.085
result/UKDALE_Dishwasher_10s/256/BiGRU_0,331.844,36.47
result/UKDALE_Dishwasher_10s/256/CNN1D_0,322.621,34.892
result/UKDALE_Dishwasher_10s/256/DAResNet_0,665.013,55.676
result/UKDALE_Dishwasher_10s/256/NILMFormer_1,481.981,44.397
result/UKDALE_Dishwasher_10s/256/BERT4NILM_1,348.674,36.057
result/UKDALE_Dishwasher_10s/256/BiLSTM_1,381.827,39.071
result/UKDALE_Dishwasher_10s/256/BiGRU_1,330.324,39.305
result/UKDALE_Dishwasher_10s/256/CNN1D_1,361.939,39.963
result/UKDALE_Dishwasher_10s/256/DAResNet_1,739.571,62.295
result/UKDALE_Dishwasher_10s/256/NILMFormer_2,525.07,49.712
result/UKDALE_Dishwasher_10s/256/BERT4NILM_2,379.868,38.988
result/UKDALE_Dishwasher_10s/256/BiLSTM_2,385.356,39.138
result/UKDALE_Dishwasher_10s/256/BiGRU_2,369.754,41.303
result/UKDALE_Dishwasher_10s/256/CNN1D_2,365.169,39.703
result/UKDALE_Dishwasher_10s/256/DAResNet_2,740.648,56.39
result/UKDALE_Dishwasher_10s/512/NILMFormer_0,269.37,22.905
result/UKDALE_Dishwasher_10s/512/BERT4NILM_0,191.451,20.422
result/UKDALE_Dishwasher_10s/512/BiLSTM_0,317.181,29.403
result/UKDALE_Dishwasher_10s/512/BiGRU_0,195.182,21.705
result/UKDALE_Dishwasher_10s/512/CNN1D_0,189.158,20.166
result/UKDALE_Dishwasher_10s/512/DAResNet_0,411.318,29.256
result/UKDALE_Dishwasher_10s/512/NILMFormer_1,277.97,22.524
result/UKDALE_Dishwasher_10s/512/BERT4NILM_1,198.043,20.762
result/UKDALE_Dishwasher_10s/512/BiLSTM_1,308.101,25.942
result/UKDALE_Dishwasher_10s/512/BiGRU_1,179.781,19.319
result/UKDALE_Dishwasher_10s/512/CNN1D_1,167.185,17.608
result/UKDALE_Dishwasher_10s/512/DAResNet_1,413.228,28.339
result/UKDALE_Dishwasher_10s/512/NILMFormer_2,266.442,22.53
result/UKDALE_Dishwasher_10s/512/BERT4NILM_2,173.546,18.225
result/UKDALE_Dishwasher_10s/512/BiLSTM_2,295.721,25.849
result/UKDALE_Dishwasher_10s/512/BiGRU_2,171.902,19.165
result/UKDALE_Dishwasher_10s/512/CNN1D_2,164.804,17.55
result/UKDALE_Dishwasher_10s/512/DAResNet_2,405.328,28.473
result/UKDALE_Kettle_10s/128/NILMFormer_0,907.874,157.331
result/UKDALE_Kettle_10s/128/BERT4NILM_0,703.808,131.16
result/UKDALE_Kettle_10s/128/BiLSTM_0,674.664,138.973
result/UKDALE_Kettle_10s/128/BiGRU_0,620.62,118.888
result/UKDALE_Kettle_10s/128/CNN1D_0,603.074,115.888
result/UKDALE_Kettle_10s/128/DAResNet_0,1189.225,185.718
result/UKDALE_Kettle_10s/128/NILMFormer_1,900.111,152.904
result/UKDALE_Kettle_10s/128/BERT4NILM_1,646.829,119.031
result/UKDALE_Kettle_10s/128/BiLSTM_1,635.566,122.766
result/UKDALE_Kettle_10s/128/BiGRU_1,611.615,118.274
result/UKDALE_Kettle_10s/128/CNN1D_1,601.401,115.895
result/UKDALE_Kettle_10s/128/DAResNet_1,1194.252,183.296
result/UKDALE_Kettle_10s/128/NILMFormer_2,895.885,153.024
result/UKDALE_Kettle_10s/128/BERT4NILM_2,647.056,119.077
result/UKDALE_Kettle_10s/128/BiLSTM_2,634.988,122.735
result/UKDALE_Kettle_10s/128/BiGRU_2,610.997,118.259
result/UKDALE_Kettle_10s/128/CNN1D_2,601.086,115.872
result/UKDALE_Kettle_10s/128/DAResNet_2,1191.995,185.877
result/UKDALE_Kettle_10s/256/NILMFormer_0,449.069,76.059
result/UKDALE_Kettle_10s/256/BERT4NILM_0,323.31,60.09
result/UKDALE_Kettle_10s/256/BiLSTM_0,359.637,65.005
result/UKDALE_Kettle_10s/256/BiGRU_0,311.705,60.777
result/UKDALE_Kettle_10s/256/CNN1D_0,304.333,58.053
result/UKDALE_Kettle_10s/256/DAResNet_0,629.642,92.893
result/UKDALE_Kettle_10s/256/NILMFormer_1,451.827,75.742
result/UKDALE_Kettle_10s/256/BERT4NILM_1,322.035,60.002
result/UKDALE_Kettle_10s/256/BiLSTM_1,358.771,65.006
result/UKDALE_Kettle_10s/256/BiGRU_1,312.201,60.698
result/UKDALE_Kettle_10s/256/CNN1D_1,304.294,58.063
result/UKDALE_Kettle_10s/256/DAResNet_1,630.273,92.956
result/UKDALE_Kettle_10s/256/NILMFormer_2,452.952,77.038
result/UKDALE_Kettle_10s/256/BERT4NILM_2,328.091,60.308
result/UKDALE_Kettle_10s/256/BiLSTM_2,359.321,65.013
result/UKDALE_Kettle_10s/256/BiGRU_2,310.629,60.69
result/UKDALE_Kettle_10s/256/CNN1D_2,302.89,58.477
result/UKDALE_Kettle_10s/256/DAResNet_2,630.747,94.014
result/UKDALE_Kettle_10s/512/NILMFormer_0,245.33,38.891
result/UKDALE_Kettle_10s/512/BERT4NILM_0,160.983,30.385
result/UKDALE_Kettle_10s/512/BiLSTM_0,277.563,42.906
result/UKDALE_Kettle_10s/512/BiGRU_0,158.337,31.832
result/UKDALE_Kettle_10s/512/CNN1D_0,152.808,29.171
result/UKDALE_Kettle_10s/512/DAResNet_0,378.826,47.558
result/UKDALE_Kettle_10s/512/NILMFormer_1,245.402,38.58
result/UKDALE_Kettle_10s/512/BERT4NILM_1,162.32,30.27
result/UKDALE_Kettle_10s/512/BiLSTM_1,277.714,42.945
result/UKDALE_Kettle_10s/512/BiGRU_1,158.849,31.829
result/UKDALE_Kettle_10s/512/CNN1D_1,152.185,29.158
result/UKDALE_Kettle_10s/512/DAResNet_1,381.928,47.936
result/UKDALE_Kettle_10s/512/NILMFormer_2,246.859,39.073
result/UKDALE_Kettle_10s/512/BERT4NILM_2,161.522,30.277
result/UKDALE_Kettle_10s/512/BiLSTM_2,277.213,42.915
result/UKDALE_Kettle_10s/512/BiGRU_2,158.5,31.825
result/UKDALE_Kettle_10s/512/CNN1D_2,152.902,29.159
result/UKDALE_Kettle_10s/512/DAResNet_2,379.513,47.553
result/UKDALE_Microwave_10s/128/NILMFormer_0,932.705,88.389
result/UKDALE_Microwave_10s/128/BERT4NILM_0,674.029,71.457
result/UKDALE_Microwave_10s/128/BiLSTM_0,660.427,73.68
result/UKDALE_Microwave_10s/128/BiGRU_0,636.277,70.983
result/UKDALE_Microwave_10s/128/CNN1D_0,624.817,69.563
result/UKDALE_Microwave_10s/128/DAResNet_0,1237.603,110.001
result/UKDALE_Microwave_10s/128/NILMFormer_1,928.002,88.371
result/UKDALE_Microwave_10s/128/BERT4NILM_1,668.951,71.465
result/UKDALE_Microwave_10s/128/BiLSTM_1,660.193,73.703
result/UKDALE_Microwave_10s/128/BiGRU_1,668.284,70.974
result/UKDALE_Microwave_10s/128/CNN1D_1,624.841,79.011
result/UKDALE_Microwave_10s/128/DAResNet_1,1340.38,122.336
result/UKDALE_Microwave_10s/128/NILMFormer_2,996.317,88.381
result/UKDALE_Microwave_10s/128/BERT4NILM_2,669.745,71.479
result/UKDALE_Microwave_10s/128/BiLSTM_2,658.424,73.67
result/UKDALE_Microwave_10s/128/BiGRU_2,642.671,70.99
result/UKDALE_Microwave_10s/128/CNN1D_2,622.79,69.562
result/UKDALE_Microwave_10s/128/DAResNet_2,981.869,57.856
result/UKDALE_Microwave_10s/256/NILMFormer_0,251.414,17.303
result/UKDALE_Microwave_10s/256/BERT4NILM_0,145.019,12.792
result/UKDALE_Microwave_10s/256/BiLSTM_0,134.677,10.188
result/UKDALE_Microwave_10s/256/BiGRU_0,89.933,8.508
result/UKDALE_Microwave_10s/256/CNN1D_0,101.079,9.585
result/UKDALE_Microwave_10s/256/DAResNet_0,440.333,28.495
result/UKDALE_Microwave_10s/256/NILMFormer_1,250.96,18.044
result/UKDALE_Microwave_10s/256/BERT4NILM_1,153.942,12.748
result/UKDALE_Microwave_10s/256/BiLSTM_1,131.453,10.857
result/UKDALE_Microwave_10s/256/BiGRU_1,91.837,8.851
result/UKDALE_Microwave_10s/256/CNN1D_1,104.27,9.848
result/UKDALE_Microwave_10s/256/DAResNet_1,488.98,38.743
result/UKDALE_Microwave_10s/256/NILMFormer_2,290.73,23.247
result/UKDALE_Microwave_10s/256/BERT4NILM_2,168.917,15.949
result/UKDALE_Microwave_10s/256/BiLSTM_2,137.291,11.949
result/UKDALE_Microwave_10s/256/BiGRU_2,100.588,9.717
result/UKDALE_Microwave_10s/256/CNN1D_2,116.698,11.162
result/UKDALE_Microwave_10s/256/DAResNet_2,445.042,31.36
result/UKDALE_Microwave_10s/512/NILMFormer_0,139.567,9.203
result/UKDALE_Microwave_10s/512/BERT4NILM_0,79.36,6.598
result/UKDALE_Microwave_10s/512/BiLSTM_0,92.375,8.263
result/UKDALE_Microwave_10s/512/BiGRU_0,54.869,5.216
result/UKDALE_Microwave_10s/512/CNN1D_0,59.279,4.83
result/UKDALE_Microwave_10s/512/DAResNet_0,296.959,16.879
result/UKDALE_Microwave_10s/512/NILMFormer_1,137.335,9.884
result/UKDALE_Microwave_10s/512/BERT4NILM_1,79.655,7.359
result/UKDALE_Microwave_10s/512/BiLSTM_1,92.558,7.6
result/UKDALE_Microwave_10s/512/BiGRU_1,53.768,5.292
result/UKDALE_Microwave_10s/512/CNN1D_1,57.885,4.681
result/UKDALE_Microwave_10s/512/DAResNet_1,290.016,15.045
result/UKDALE_Microwave_10s/512/NILMFormer_2,141.517,9.224
result/UKDALE_Microwave_10s/512/BERT4NILM_2,94.602,9.224
result/UKDALE_Microwave_10s/512/BiLSTM_2,104.75,7.802
result/UKDALE_Microwave_10s/512/BiGRU_2,62.247,7.037
result/UKDALE_Microwave_10s/512/CNN1D_2,68.628,6.674
result/UKDALE_Microwave_10s/512/DAResNet_2,338.989,19.069
result/UKDALE_Fridge_10s/128/NILMFormer_0,591.573,36.003
result/UKDALE_Fridge_10s/128/BERT4NILM_0,292.806,26.023
result/UKDALE_Fridge_10s/128/BiLSTM_0,177.038,17.161
result/UKDALE_Fridge_10s/128/BiGRU_0,174.233,16.205
result/UKDALE_Fridge_10s/128/CNN1D_0,197.918,18.192
result/UKDALE_Fridge_10s/128/DAResNet_0,814.711,58.811
result/UKDALE_Fridge_10s/128/NILMFormer_1,490.037,35.516
result/UKDALE_Fridge_10s/128/BERT4NILM_1,292.87,30.228
result/UKDALE_Fridge_10s/128/BiLSTM_1,209.68,19.978
result/UKDALE_Fridge_10s/128/BiGRU_1,207.909,19.108
result/UKDALE_Fridge_10s/128/CNN1D_1,238.698,18.297
result/UKDALE_Fridge_10s/128/DAResNet_1,944.486,89.185
result/UKDALE_Fridge_10s/128/NILMFormer_2,596.737,52.004
result/UKDALE_Fridge_10s/128/BERT4NILM_2,372.34,38.718
result/UKDALE_Fridge_10s/128/BiLSTM_2,222.67,17.287
result/UKDALE_Fridge_10s/128/BiGRU_2,176.892,23.524
result/UKDALE_Fridge_10s/128/CNN1D_2,245.876,19.867
result/UKDALE_Fridge_10s/128/DAResNet_2,989.272,79.044
result/UKDALE_Fridge_10s/256/NILMFormer_0,306.413,28.033
result/UKDALE_Fridge_10s/256/BERT4NILM_0,226.224,23.574
result/UKDALE_Fridge_10s/256/BiLSTM_0,186.137,20.275
result/UKDALE_Fridge_10s/256/BiGRU_0,137.329,16.759
result/UKDALE_Fridge_10s/256/CNN1D_0,146.48,17.972
result/UKDALE_Fridge_10s/256/DAResNet_0,560.195,46.701
result/UKDALE_Fridge_10s/256/NILMFormer_1,338.676,29.801
result/UKDALE_Fridge_10s/256/BERT4NILM_1,229.636,23.439
result/UKDALE_Fridge_10s/256/BiLSTM_1,131.919,10.482
result/UKDALE_Fridge_10s/256/BiGRU_1,89.586,8.704
result/UKDALE_Fridge_10s/256/CNN1D_1,101.044,8.903
result/UKDALE_Fridge_10s/256/DAResNet_1,436.194,29.535
result/UKDALE_Fridge_10s/256/NILMFormer_2,255.483,17.836
result/UKDALE_Fridge_10s/256/BERT4NILM_2,147.806,13.346
result/UKDALE_Fridge_10s/256/BiLSTM_2,130.924,10.47
result/UKDALE_Fridge_10s/256/BiGRU_2,89.228,8.468
result/UKDALE_Fridge_10s/256/CNN1D_2,100.541,8.846
result/UKDALE_Fridge_10s/256/DAResNet_2,448.196,29.82
result/UKDALE_Fridge_10s/512/NILMFormer_0,134.982,9.074
result/UKDALE_Fridge_10s/512/BERT4NILM_0,77.142,6.614
result/UKDALE_Fridge_10s/512/BiLSTM_0,91.527,7.564
result/UKDALE_Fridge_10s/512/BiGRU_0,52.487,5.163
result/UKDALE_Fridge_10s/512/CNN1D_0,56.142,4.642
result/UKDALE_Fridge_10s/512/DAResNet_0,290.701,16.934
result/UKDALE_Fridge_10s/512/NILMFormer_1,133.534,9.012
result/UKDALE_Fridge_10s/512/BERT4NILM_1,77.179,6.535
result/UKDALE_Fridge_10s/512/BiLSTM_1,92.354,7.637
result/UKDALE_Fridge_10s/512/BiGRU_1,53.106,5.344
result/UKDALE_Fridge_10s/512/CNN1D_1,56.541,4.727
result/UKDALE_Fridge_10s/512/DAResNet_1,287.545,15.078
result/UKDALE_Fridge_10s/512/NILMFormer_2,132.643,8.934
result/UKDALE_Fridge_10s/512/BERT4NILM_2,76.058,6.492
result/UKDALE_Fridge_10s/512/BiLSTM_2,92.166,7.545
result/UKDALE_Fridge_10s/512/BiGRU_2,52.626,5.523
result/UKDALE_Fridge_10s/512/CNN1D_2,58.105,4.718
result/UKDALE_Fridge_10s/512/DAResNet_2,294.943,16.336
result/UKDALE_Kettle_10s/128/TCN_KL_0,0,48.912
result/UKDALE_Kettle_10s/128/TCN_KL_1,0,47.997
result/UKDALE_Kettle_10s/128/TCN_KL_2,0,46.796
result/UKDALE_WashingMachine_10s/128/TCN_KL_0,0,27.672
result/UKDALE_WashingMachine_10s/128/TCN_KL_1,0,27.532
result/UKDALE_WashingMachine_10s/128/TCN_KL_2,0,27.682
result/UKDALE_WashingMachine_10s/256/TCN_KL_0,0,13.966
result/UKDALE_WashingMachine_10s/256/TCN_KL_1,0,13.925
result/UKDALE_WashingMachine_10s/256/TCN_KL_2,0,13.631
result/UKDALE_WashingMachine_10s/512/TCN_KL_0,0,6.947
result/UKDALE_WashingMachine_10s/512/TCN_KL_1,0,7.12
result/UKDALE_WashingMachine_10s/512/TCN_KL_2,0,6.968
result/UKDALE_Dishwasher_10s/128/TCN_KL_0,0,27.774
result/UKDALE_Dishwasher_10s/128/TCN_KL_1,0,27.524
result/UKDALE_Dishwasher_10s/128/TCN_KL_2,0,27.093
result/UKDALE_Dishwasher_10s/256/TCN_KL_0,0,13.637
result/UKDALE_Dishwasher_10s/256/TCN_KL_1,0,13.557
result/UKDALE_Dishwasher_10s/256/TCN_KL_2,0,14.004
result/UKDALE_Dishwasher_10s/512/TCN_KL_0,0,6.968
result/UKDALE_Dishwasher_10s/512/TCN_KL_1,0,7.257
result/UKDALE_Dishwasher_10s/512/TCN_KL_2,0,6.871
result/UKDALE_Kettle_10s/128/TCN_KL_0,0,49.55
result/UKDALE_Kettle_10s/128/TCN_KL_1,0,49.35
result/UKDALE_Kettle_10s/128/TCN_KL_2,0,50.194
result/UKDALE_Kettle_10s/256/TCN_KL_0,0,25.704
result/UKDALE_Kettle_10s/256/TCN_KL_1,0,26.017
result/UKDALE_Kettle_10s/256/TCN_KL_2,0,25.611
result/UKDALE_Kettle_10s/512/TCN_KL_0,0,12.711
